Applicant_ID,Gender,Age,Marital_Status,Housing_Type,Education_Level,Income_Type,Annual_Income,Employment_Duration,Family_Members,Existing_Loans,Credit_Inquiries,Past_Due_Records,Approval_Status
ACC-10039,Female,46,Single,With Parents,Secondary / Secondary Special,Pensioner,37100.0,18.9,1,1,1,0,1
ACC-10040,Female,60,Married,Own House,Academic Degree,Working,123600.0,36.2,1,1,3,0,1
ACC-10041,Female,27,Single,Own House,Higher Education,Pensioner,94700.0,6.2,1,1,0,0,1
ACC-10042,Female,50,Married,Own House,Higher Education,State Servant,96000.0,15.5,1,2,0,0,1
ACC-10043,Male,27,Single,Own House,Higher Education,Working,89500.0,4.7,3,0,1,0,1
ACC-10044,Female,23,Single,Own House,Higher Education,Pensioner,79100.0,1.5,1,1,2,0,0
ACC-10045,Male,21,Single,Own House,Secondary / Secondary Special,Working,71800.0,0.7,3,3,1,3,0
ACC-10046,Female,56,Single,With Parents,Secondary / Secondary Special,State Servant,87000.0,32.7,2,1,4,0,1
ACC-10047,Female,45,Married,With Parents,Higher Education,State Servant,107500.0,23.3,1,1,2,2,1
ACC-10048,Female,57,Separated,Rented Apartment,Secondary / Secondary Special,Commercial Associate,97700.0,33.2,3,1,1,0,1
ACC-10049,Female,21,Married,Own House,Secondary / Secondary Special,Commercial Associate,81000.0,0.6,2,0,0,2,0
ACC-10050,Male,35,Single,Own House,Higher Education,Working,97500.0,12.8,1,1,1,0,1
ACC-10051,Male,57,Married,Own House,Higher Education,Commercial Associate,112100.0,35.1,4,3,2,0,1
ACC-10052,Male,33,Single,Own House,Secondary / Secondary Special,Working,38400.0,5.0,1,0,3,0,0
ACC-10053,Male,60,Married,With Parents,Higher Education,State Servant,113500.0,21.0,1,2,4,0,1
ACC-10054,Male,28,Married,Own House,Higher Education,Commercial Associate,68300.0,6.3,3,0,1,0,1
ACC-10055,Male,25,Married,Own House,Secondary / Secondary Special,Pensioner,60700.0,3.0,3,1,1,0,1
ACC-10056,Female,29,Single,With Parents,Higher Education,Working,95900.0,8.9,2,2,0,0,1
ACC-10057,Female,21,Single,Municipal Housing,Secondary / Secondary Special,State Servant,58700.0,0.7,1,2,0,0,0
ACC-10058,Female,56,Married,Own House,Secondary / Secondary Special,Pensioner,53600.0,25.8,4,2,0,0,1
ACC-10059,Female,55,Married,Own House,Secondary / Secondary Special,State Servant,74200.0,27.8,2,3,0,0,1
ACC-10060,Female,22,Single,Own House,Secondary / Secondary Special,Working,36200.0,1.2,1,1,1,0,0
ACC-10061,Female,60,Married,Own House,Secondary / Secondary Special,Working,96200.0,34.4,2,1,0,0,1
ACC-10062,Male,43,Married,Own House,Higher Education,Working,91600.0,12.8,4,0,1,0,1
ACC-10063,Female,29,Married,Own House,Higher Education,Commercial Associate,155900.0,4.0,1,0,1,0,1
ACC-10064,Female,54,Married,Municipal Housing,Secondary / Secondary Special,Commercial Associate,97400.0,4.1,3,1,1,0,1
ACC-10065,Female,34,Married,Own House,Higher Education,Pensioner,71100.0,5.8,2,1,1,1,0
ACC-10066,Female,24,Married,Own House,Secondary / Secondary Special,Working,49800.0,3.1,2,1,0,0,1
ACC-10067,Male,50,Married,Own House,Secondary / Secondary Special,Working,62600.0,27.7,3,2,4,0,1
ACC-10068,Female,51,Married,Own House,Higher Education,Commercial Associate,108300.0,8.2,5,1,0,0,1
ACC-10069,Male,58,Married,With Parents,Secondary / Secondary Special,State Servant,97200.0,13.8,1,0,4,1,0
ACC-10070,Male,31,Married,Own House,Secondary / Secondary Special,Pensioner,72000.0,2.1,1,1,0,0,1
ACC-10071,Female,55,Married,Own House,Higher Education,State Servant,99900.0,24.3,4,1,1,0,1
ACC-10072,Female,28,Single,Own House,Secondary / Secondary Special,Working,103900.0,7.7,3,1,0,0,1
ACC-10073,Male,23,Married,Rented Apartment,Higher Education,Commercial Associate,60600.0,2.1,2,2,0,0,1
ACC-10074,Male,34,Married,Own House,Secondary / Secondary Special,State Servant,75200.0,8.8,2,1,1,0,1
ACC-10075,Male,33,Married,Rented Apartment,Secondary / Secondary Special,Working,92600.0,7.4,3,2,2,0,1
ACC-10076,Male,65,Married,Own House,Secondary / Secondary Special,Working,77000.0,4.4,3,1,0,1,1
ACC-10077,Female,52,Married,Own House,Secondary / Secondary Special,Working,35700.0,23.5,4,1,1,0,1
ACC-10078,Female,54,Married,Own House,Secondary / Secondary Special,Working,95600.0,20.7,2,2,0,0,1
ACC-10079,Female,65,Civil Union,With Parents,Secondary / Secondary Special,Commercial Associate,96700.0,29.9,2,0,1,0,1
ACC-10080,Male,39,Married,With Parents,Higher Education,Working,97500.0,17.1,2,0,3,0,1
ACC-10081,Male,58,Separated,Own House,Higher Education,Working,91900.0,29.9,2,0,3,0,1
ACC-10082,Female,36,Married,Own House,Secondary / Secondary Special,Working,108900.0,12.6,2,1,1,1,1
ACC-10083,Female,22,Married,Own House,Secondary / Secondary Special,Commercial Associate,89800.0,1.9,2,0,0,0,1
ACC-10084,Female,60,Married,Own House,Secondary / Secondary Special,Working,59700.0,39.6,1,4,0,0,1
ACC-10085,Female,37,Married,Own House,Incomplete Higher,Commercial Associate,62100.0,10.1,2,1,4,0,1
ACC-10086,Male,54,Married,With Parents,Academic Degree,Working,126700.0,4.1,3,1,0,0,1
ACC-10087,Male,62,Single,With Parents,Secondary / Secondary Special,Working,86700.0,19.6,3,0,2,0,1
ACC-10088,Male,36,Married,Own House,Higher Education,Working,91200.0,12.7,2,0,1,0,1
ACC-10089,Female,58,Separated,Own House,Secondary / Secondary Special,Working,52700.0,1.5,1,0,5,3,0
ACC-10090,Female,22,Single,With Parents,Secondary / Secondary Special,Working,94300.0,0.6,2,1,1,0,0
ACC-10091,Male,22,Married,Rented Apartment,Secondary / Secondary Special,Working,45500.0,0.6,3,1,1,0,0
ACC-10092,Male,46,Married,Own House,Secondary / Secondary Special,State Servant,108300.0,19.1,2,1,1,0,1
ACC-10093,Male,33,Married,Own House,Secondary / Secondary Special,Commercial Associate,63800.0,6.8,3,1,4,2,0
ACC-10094,Male,51,Married,Own House,Secondary / Secondary Special,Working,36900.0,11.8,2,2,5,1,0
ACC-10095,Female,54,Married,Own House,Higher Education,Working,64700.0,4.0,1,0,2,0,0
ACC-10096,Female,59,Married,Own House,Secondary / Secondary Special,Pensioner,20600.0,28.7,3,2,2,2,1
ACC-10097,Female,23,Married,Own House,Secondary / Secondary Special,Commercial Associate,74800.0,1.3,1,1,1,0,0
ACC-10098,Female,28,Married,Own House,Secondary / Secondary Special,Working,54700.0,2.5,2,1,2,0,0
ACC-10099,Female,43,Separated,Own House,Secondary / Secondary Special,Commercial Associate,102500.0,15.2,1,0,3,1,1
ACC-10100,Female,34,Single,Own House,Secondary / Secondary Special,Commercial Associate,99400.0,8.0,1,1,1,1,1
ACC-10101,Male,47,Separated,Own House,Secondary / Secondary Special,State Servant,60100.0,10.1,2,0,1,2,0
ACC-10102,Female,49,Married,Rented Apartment,Secondary / Secondary Special,Working,133300.0,18.8,2,4,1,1,1
ACC-10103,Female,59,Married,With Parents,Secondary / Secondary Special,Working,59800.0,10.9,3,1,1,4,0
ACC-10104,Male,59,Married,Own House,Secondary / Secondary Special,Working,62700.0,31.1,3,4,3,0,1
ACC-10105,Female,21,Married,Own House,Secondary / Secondary Special,Pensioner,18000.0,0.6,3,1,1,0,0
ACC-10106,Female,37,Married,Municipal Housing,Higher Education,Commercial Associate,103200.0,3.1,2,0,0,0,1
ACC-10107,Male,61,Single,Own House,Higher Education,Working,96500.0,32.2,2,1,1,1,1
ACC-10108,Female,50,Single,Own House,Secondary / Secondary Special,Pensioner,18900.0,21.4,2,0,0,0,1
ACC-10109,Female,33,Married,Own House,Secondary / Secondary Special,Pensioner,34000.0,2.8,2,3,1,0,0
ACC-10110,Female,41,Married,Own House,Secondary / Secondary Special,Pensioner,52200.0,2.9,2,2,3,1,0
ACC-10111,Female,39,Married,Own House,Secondary / Secondary Special,State Servant,53500.0,16.0,4,1,1,3,0
ACC-10112,Male,39,Married,With Parents,Secondary / Secondary Special,Pensioner,28800.0,14.9,1,1,3,0,1
ACC-10113,Male,45,Married,Own House,Secondary / Secondary Special,Working,82200.0,8.5,4,1,0,0,1
ACC-10114,Male,42,Married,Own House,Secondary / Secondary Special,State Servant,36800.0,14.7,1,4,3,0,1
ACC-10115,Male,51,Married,With Parents,Incomplete Higher,State Servant,41100.0,4.3,2,0,1,0,0
ACC-10116,Male,37,Separated,Own House,Secondary / Secondary Special,Working,68900.0,8.9,2,2,0,0,1
ACC-10117,Female,43,Single,Own House,Secondary / Secondary Special,Working,83600.0,0.9,2,1,1,2,0
ACC-10118,Male,52,Single,Own House,Secondary / Secondary Special,Pensioner,51700.0,12.8,1,4,4,0,1
ACC-10119,Female,30,Married,Own House,Incomplete Higher,Working,60100.0,1.2,4,2,0,0,1
ACC-10120,Male,30,Married,Own House,Higher Education,State Servant,83300.0,5.0,3,4,1,0,1
ACC-10121,Male,56,Married,Own House,Secondary / Secondary Special,Working,87200.0,15.5,3,1,3,0,1
ACC-10122,Female,28,Married,Own House,Higher Education,Working,108900.0,3.8,2,0,0,0,1
ACC-10123,Female,40,Married,Rented Apartment,Secondary / Secondary Special,Working,66100.0,1.4,4,1,1,0,0
ACC-10124,Female,52,Single,Own House,Higher Education,Working,83900.0,11.9,3,1,1,1,1
ACC-10125,Female,34,Single,Own House,Higher Education,Commercial Associate,105800.0,10.7,2,2,0,0,1
ACC-10126,Male,48,Married,Own House,Secondary / Secondary Special,Commercial Associate,64000.0,10.6,3,0,1,1,1
ACC-10127,Male,44,Married,Own House,Higher Education,Working,86700.0,17.3,2,1,0,0,1
ACC-10128,Female,35,Civil Union,Own House,Secondary / Secondary Special,Working,54200.0,5.9,2,0,2,0,1
ACC-10129,Female,42,Married,With Parents,Secondary / Secondary Special,Working,62800.0,9.6,2,2,0,0,1
ACC-10130,Female,50,Married,Own House,Secondary / Secondary Special,Working,55000.0,17.1,2,0,0,0,1
ACC-10131,Female,24,Married,Own House,Higher Education,State Servant,101500.0,3.8,1,1,1,0,1
ACC-10132,Female,33,Single,Rented Apartment,Secondary / Secondary Special,Working,83000.0,1.9,2,0,1,0,1
ACC-10133,Female,43,Separated,Own House,Secondary / Secondary Special,Working,56600.0,1.2,3,0,0,0,1
ACC-10134,Male,28,Married,Own House,Higher Education,Working,72100.0,5.1,5,3,3,0,1
ACC-10135,Female,38,Civil Union,Rented Apartment,Secondary / Secondary Special,Working,80700.0,17.1,5,0,4,0,1
ACC-10136,Female,32,Single,With Parents,Secondary / Secondary Special,Working,69100.0,11.9,2,0,3,0,1
ACC-10137,Male,51,Married,Rented Apartment,Secondary / Secondary Special,Working,56900.0,15.3,2,0,1,0,1
ACC-10138,Female,34,Married,Own House,Secondary / Secondary Special,State Servant,95300.0,6.8,1,1,3,0,1
ACC-10139,Male,54,Married,Own House,Secondary / Secondary Special,Pensioner,32600.0,22.1,3,1,4,0,1
ACC-10140,Male,38,Separated,Rented Apartment,Secondary / Secondary Special,State Servant,21200.0,10.2,1,0,1,0,1
ACC-10141,Female,54,Married,Own House,Incomplete Higher,Working,49400.0,21.7,2,1,0,0,1
ACC-10142,Female,31,Single,Own House,Higher Education,Working,125600.0,9.7,3,0,0,0,1
ACC-10143,Female,61,Married,With Parents,Secondary / Secondary Special,Commercial Associate,73000.0,30.7,2,2,1,0,1
ACC-10144,Female,32,Single,Own House,Secondary / Secondary Special,Commercial Associate,68700.0,6.2,1,2,4,0,0
ACC-10145,Female,35,Married,Rented Apartment,Secondary / Secondary Special,Pensioner,45600.0,7.2,3,4,1,3,0
ACC-10146,Male,51,Married,Own House,Higher Education,Working,112200.0,20.0,2,3,2,0,1
ACC-10147,Female,49,Single,Own House,Secondary / Secondary Special,Working,63200.0,13.5,1,0,0,0,1
ACC-10148,Female,46,Single,Own House,Secondary / Secondary Special,Commercial Associate,93000.0,12.2,1,0,0,1,1
ACC-10149,Female,38,Civil Union,Rented Apartment,Higher Education,State Servant,85800.0,0.8,2,1,1,0,1
ACC-10150,Male,52,Married,Own House,Secondary / Secondary Special,State Servant,78200.0,6.0,1,0,4,0,0
ACC-10151,Female,42,Single,Own House,Secondary / Secondary Special,Commercial Associate,84000.0,11.0,3,0,1,1,1
ACC-10152,Female,58,Married,Rented Apartment,Higher Education,Pensioner,61200.0,31.3,2,0,3,1,1
ACC-10153,Female,37,Married,Rented Apartment,Higher Education,Working,95700.0,5.1,3,1,0,0,1
ACC-10154,Male,43,Married,Municipal Housing,Secondary / Secondary Special,Pensioner,33100.0,12.3,1,1,1,0,1
ACC-10155,Female,44,Married,Own House,Higher Education,Pensioner,39700.0,8.6,2,0,1,1,1
ACC-10156,Male,28,Married,Own House,Secondary / Secondary Special,State Servant,64600.0,1.3,3,0,3,0,0
ACC-10157,Male,61,Separated,Municipal Housing,Higher Education,Working,61600.0,39.3,3,1,0,0,1
ACC-10158,Female,26,Married,Own House,Secondary / Secondary Special,Working,78100.0,5.2,2,0,0,0,1
ACC-10159,Male,25,Single,Own House,Higher Education,Commercial Associate,104200.0,0.9,4,4,0,0,1
ACC-10160,Female,64,Married,Own House,Incomplete Higher,Working,96300.0,31.8,1,0,4,0,1
ACC-10161,Male,49,Married,Rented Apartment,Incomplete Higher,State Servant,57700.0,10.4,2,1,0,0,1
ACC-10162,Male,48,Married,Own House,Higher Education,Working,89600.0,27.9,4,1,0,1,1
ACC-10163,Female,31,Separated,Rented Apartment,Secondary / Secondary Special,Working,32700.0,3.7,1,0,1,0,0
ACC-10164,Female,21,Civil Union,Own House,Secondary / Secondary Special,Commercial Associate,55700.0,0.6,1,1,1,0,1
ACC-10165,Male,63,Civil Union,Own House,Secondary / Secondary Special,Working,28100.0,24.6,1,1,3,0,1
ACC-10166,Female,39,Separated,Own House,Higher Education,Working,113700.0,15.9,2,2,4,0,1
ACC-10167,Female,29,Married,Own House,Higher Education,Working,79900.0,2.1,2,1,1,0,1
ACC-10168,Female,47,Married,Own House,Secondary / Secondary Special,Commercial Associate,109200.0,19.3,1,0,4,0,1
ACC-10169,Male,54,Single,Own House,Higher Education,Working,31000.0,2.6,2,0,2,0,0
ACC-10170,Male,64,Married,Own House,Higher Education,State Servant,124100.0,40.5,2,0,0,0,1
ACC-10171,Female,24,Married,Rented Apartment,Incomplete Higher,Working,63500.0,0.8,1,0,4,2,0
ACC-10172,Female,56,Married,Rented Apartment,Higher Education,Pensioner,77500.0,33.0,2,1,2,0,1
ACC-10173,Female,38,Single,Rented Apartment,Secondary / Secondary Special,Working,41600.0,9.1,2,4,1,0,1
ACC-10174,Male,35,Married,Own House,Secondary / Secondary Special,Working,76600.0,7.0,4,1,2,0,1
ACC-10175,Female,33,Married,Own House,Secondary / Secondary Special,Working,56800.0,12.7,3,1,1,0,1
ACC-10176,Male,39,Married,Own House,Secondary / Secondary Special,Working,38700.0,18.8,3,1,0,0,1
ACC-10177,Female,26,Married,With Parents,Higher Education,Commercial Associate,78400.0,4.1,2,2,2,0,1
ACC-10178,Male,32,Married,Rented Apartment,Higher Education,Working,63000.0,2.0,2,0,2,0,1
ACC-10179,Female,57,Married,Rented Apartment,Higher Education,Working,98400.0,19.0,2,2,2,0,1
ACC-10180,Female,37,Single,Own House,Higher Education,Commercial Associate,91000.0,9.2,3,2,0,0,1
ACC-10181,Female,43,Married,Own House,Secondary / Secondary Special,Working,28900.0,12.1,2,0,4,0,1
ACC-10182,Male,46,Married,Own House,Secondary / Secondary Special,Working,73100.0,15.0,3,0,0,0,1
ACC-10183,Male,49,Single,Own House,Secondary / Secondary Special,State Servant,18000.0,1.0,5,4,0,0,0
ACC-10184,Female,53,Married,Own House,Secondary / Secondary Special,Pensioner,74200.0,23.6,1,2,0,1,1
ACC-10185,Male,47,Married,With Parents,Secondary / Secondary Special,Working,108700.0,19.4,1,0,0,0,1
ACC-10186,Male,45,Single,Own House,Secondary / Secondary Special,Working,36100.0,3.3,1,1,1,0,1
ACC-10187,Male,30,Married,Own House,Secondary / Secondary Special,Pensioner,68200.0,5.9,2,1,1,2,0
ACC-10188,Female,43,Single,Own House,Secondary / Secondary Special,Working,72700.0,13.3,1,1,3,0,1
ACC-10189,Female,41,Single,With Parents,Higher Education,Pensioner,59000.0,14.5,4,0,5,0,0
ACC-10190,Female,41,Single,Own House,Secondary / Secondary Special,Working,55000.0,2.3,1,0,2,0,1
ACC-10191,Male,63,Married,Rented Apartment,Secondary / Secondary Special,State Servant,79400.0,27.1,2,1,1,0,1
ACC-10192,Male,33,Married,With Parents,Secondary / Secondary Special,Working,64100.0,4.0,1,2,2,0,0
ACC-10193,Male,57,Married,Own House,Incomplete Higher,Pensioner,18000.0,19.0,4,2,3,0,1
ACC-10194,Female,53,Married,Own House,Secondary / Secondary Special,Working,110600.0,25.6,3,0,1,0,1
ACC-10195,Female,44,Single,Own House,Secondary / Secondary Special,Commercial Associate,89500.0,17.1,4,2,2,0,1
ACC-10196,Male,64,Married,Own House,Higher Education,Working,88900.0,5.7,5,0,1,2,1
ACC-10197,Male,31,Married,Rented Apartment,Secondary / Secondary Special,Working,49200.0,6.7,2,1,1,0,1
ACC-10198,Male,37,Married,Rented Apartment,Incomplete Higher,State Servant,60800.0,16.5,1,3,1,0,1
ACC-10199,Male,24,Married,Own House,Secondary / Secondary Special,Commercial Associate,107900.0,1.0,1,1,2,0,1
ACC-10200,Male,45,Married,Own House,Secondary / Secondary Special,Pensioner,50800.0,21.4,1,0,2,0,1
ACC-10201,Female,50,Single,Own House,Secondary / Secondary Special,Working,73300.0,21.2,3,0,1,0,1
ACC-10202,Female,29,Married,Own House,Higher Education,State Servant,62500.0,7.1,1,1,1,0,1
ACC-10203,Male,41,Single,Own House,Secondary / Secondary Special,Working,57300.0,6.3,1,2,3,1,0
ACC-10204,Male,40,Separated,Own House,Secondary / Secondary Special,Pensioner,46100.0,6.1,2,4,5,1,0
ACC-10205,Female,39,Married,Own House,Secondary / Secondary Special,Pensioner,60300.0,17.3,2,2,0,0,1
ACC-10206,Female,39,Married,Rented Apartment,Secondary / Secondary Special,Working,55900.0,7.2,3,2,0,0,1
ACC-10207,Male,32,Married,Own House,Secondary / Secondary Special,State Servant,85400.0,1.2,2,1,2,0,1
ACC-10208,Female,57,Single,Own House,Higher Education,State Servant,64800.0,22.4,3,2,1,0,1
ACC-10209,Female,62,Married,Own House,Higher Education,Working,91500.0,5.7,2,0,0,2,0
ACC-10210,Female,37,Married,With Parents,Secondary / Secondary Special,Commercial Associate,77900.0,13.6,1,3,0,0,1
ACC-10211,Male,57,Married,Own House,Secondary / Secondary Special,Working,31700.0,23.9,3,0,2,0,1
ACC-10212,Male,59,Civil Union,Own House,Higher Education,State Servant,89000.0,34.2,5,3,2,0,1
ACC-10213,Female,48,Married,Own House,Secondary / Secondary Special,Working,52200.0,22.1,1,0,1,0,1
ACC-10214,Male,61,Married,Rented Apartment,Secondary / Secondary Special,Working,96100.0,5.0,2,1,1,3,0
ACC-10215,Female,55,Civil Union,Own House,Secondary / Secondary Special,Working,56000.0,13.6,2,1,1,1,1
ACC-10216,Female,38,Married,Rented Apartment,Higher Education,Commercial Associate,112700.0,14.1,1,4,0,0,1
ACC-10217,Male,34,Civil Union,Municipal Housing,Incomplete Higher,State Servant,37900.0,6.1,4,2,1,1,0
ACC-10218,Male,55,Single,Rented Apartment,Higher Education,Pensioner,75200.0,34.0,2,0,0,0,1
ACC-10219,Male,64,Single,Own House,Secondary / Secondary Special,Working,55900.0,32.5,3,1,1,0,1
ACC-10220,Male,61,Married,Own House,Secondary / Secondary Special,Working,47900.0,1.1,3,0,0,0,1
ACC-10221,Male,27,Single,Own House,Higher Education,Commercial Associate,167300.0,6.2,2,0,2,0,1
ACC-10222,Female,61,Civil Union,Municipal Housing,Secondary / Secondary Special,Commercial Associate,72200.0,4.6,1,0,1,0,0
ACC-10223,Female,33,Married,Own House,Academic Degree,Working,105300.0,2.3,1,0,1,0,1
ACC-10224,Female,38,Married,Own House,Incomplete Higher,Working,84800.0,13.4,1,1,0,0,1
ACC-10225,Female,57,Married,Rented Apartment,Secondary / Secondary Special,Working,48100.0,32.1,1,3,0,0,1
ACC-10226,Male,33,Married,Own House,Incomplete Higher,Working,73900.0,7.2,2,3,1,0,0
ACC-10227,Female,56,Married,Own House,Secondary / Secondary Special,Commercial Associate,91200.0,10.8,3,0,0,0,1
ACC-10228,Male,51,Married,Own House,Higher Education,Commercial Associate,110400.0,11.2,2,0,0,0,1
ACC-10229,Male,22,Married,Own House,Secondary / Secondary Special,State Servant,115500.0,1.0,3,0,1,1,0
ACC-10230,Male,36,Single,Rented Apartment,Secondary / Secondary Special,Commercial Associate,62300.0,5.6,2,0,2,0,1
ACC-10231,Female,29,Married,Own House,Higher Education,Working,123800.0,2.6,3,0,0,0,1
ACC-10232,Male,29,Single,Own House,Higher Education,State Servant,100400.0,5.7,5,0,1,0,1
ACC-10233,Female,58,Married,Own House,Secondary / Secondary Special,Commercial Associate,100000.0,34.3,1,1,4,0,1
ACC-10234,Female,31,Married,Rented Apartment,Secondary / Secondary Special,Working,72500.0,3.7,4,1,4,0,0
ACC-10235,Male,42,Married,Rented Apartment,Secondary / Secondary Special,Commercial Associate,121300.0,4.5,2,1,0,0,1
ACC-10236,Female,53,Married,Own House,Secondary / Secondary Special,Working,58000.0,27.8,3,0,2,0,1
ACC-10237,Female,56,Married,Own House,Secondary / Secondary Special,State Servant,75900.0,26.8,3,1,1,1,1
ACC-10238,Male,65,Married,Own House,Secondary / Secondary Special,Working,93700.0,41.9,2,2,5,0,1
ACC-10239,Female,43,Married,With Parents,Secondary / Secondary Special,Commercial Associate,67700.0,4.2,1,0,1,0,1
ACC-10240,Male,65,Single,Own House,Secondary / Secondary Special,Working,87000.0,6.9,1,0,2,0,1
ACC-10241,Male,65,Married,Rented Apartment,Secondary / Secondary Special,Working,64600.0,24.6,2,0,2,0,1
ACC-10242,Male,54,Single,Own House,Secondary / Secondary Special,Pensioner,18000.0,21.1,5,0,1,0,1
ACC-10243,Female,29,Single,Own House,Secondary / Secondary Special,State Servant,33100.0,4.6,3,1,2,0,0
ACC-10244,Female,44,Single,Own House,Incomplete Higher,Working,63000.0,14.6,2,0,0,0,1
ACC-10245,Male,28,Civil Union,With Parents,Secondary / Secondary Special,Working,86800.0,1.9,3,1,0,1,0
ACC-10246,Female,27,Married,Own House,Incomplete Higher,Working,19300.0,3.6,3,0,1,0,0
ACC-10247,Male,56,Married,With Parents,Higher Education,Commercial Associate,109400.0,23.9,2,1,4,1,1
ACC-10248,Male,38,Civil Union,Own House,Higher Education,Commercial Associate,124600.0,8.1,1,0,1,0,1
ACC-10249,Male,23,Married,Own House,Higher Education,Commercial Associate,76900.0,2.2,1,1,1,0,1
ACC-10250,Female,48,Married,Own House,Higher Education,Working,76100.0,12.9,4,0,1,0,1
ACC-10251,Female,26,Single,Rented Apartment,Secondary / Secondary Special,State Servant,77600.0,2.3,3,0,0,0,1
ACC-10252,Male,64,Single,Own House,Secondary / Secondary Special,Working,83700.0,13.7,2,2,1,0,1
ACC-10253,Female,64,Civil Union,With Parents,Higher Education,Working,125300.0,18.4,2,1,2,2,1
ACC-10254,Female,41,Separated,With Parents,Secondary / Secondary Special,Commercial Associate,67100.0,1.0,3,0,5,0,0
ACC-10255,Male,48,Single,With Parents,Higher Education,Pensioner,52100.0,18.9,4,1,0,2,1
